,date,frame_idx,idBox,conf,c,xc,yc,time_video,time_video_min,nomClass,line_name
0,2023-01-24 10:01:20.692249,19,2,0.7397418,5,877,-892,0,0,particular,6
1,2023-01-24 10:01:22.049095,23,16,0.73559916,7,852,-767,0,0,taxi,0
2,2023-01-24 10:01:24.020794,28,10,0.5232831,5,406,-927,0,0,particular,7
3,2023-01-24 10:01:32.601656,53,2,0.75168407,5,781,-993,1,0,particular,9
4,2023-01-24 10:01:32.601730,53,19,0.637804,5,925,-768,1,0,particular,0
5,2023-01-24 10:01:41.471557,81,1,0.6426138,7,1388,-814,2,0,taxi,2
6,2023-01-24 10:01:46.262102,94,31,0.74401313,5,967,-771,3,0,particular,0
7,2023-01-24 10:01:47.265026,96,3,0.8228668,7,914,-962,3,0,taxi,5
8,2023-01-24 10:01:49.713280,103,22,0.759137,5,856,-765,3,0,particular,0
9,2023-01-24 10:01:52.674903,111,22,0.63338417,5,913,-702,3,0,particular,0
10,2023-01-24 10:01:54.699985,117,3,0.78926146,7,832,-1015,3,0,taxi,9
11,2023-01-24 10:02:08.458002,151,27,0.5626562,7,1389,-813,5,0,taxi,2
12,2023-01-24 10:02:08.846319,152,27,0.56223357,7,1389,-815,5,0,taxi,2
13,2023-01-24 10:02:09.624842,154,27,0.61871094,7,1387,-813,5,0,taxi,2
14,2023-01-24 10:02:19.434385,181,22,0.69646484,5,971,-768,6,0,particular,0
15,2023-01-24 10:02:19.434410,181,27,0.868576,7,1408,-829,6,0,taxi,2
16,2023-01-24 10:02:19.434456,181,31,0.82273525,5,884,-890,6,0,particular,6
17,2023-01-24 10:02:20.091936,182,55,0.50139713,7,669,-1034,6,0,taxi,9
18,2023-01-24 10:02:20.091961,182,59,0.52782947,5,668,-1034,6,0,particular,9
19,2023-01-24 10:02:22.583155,188,66,0.68736243,5,795,-990,6,0,particular,9
20,2023-01-24 10:02:24.324947,193,60,0.7086355,7,1332,-854,6,0,taxi,2
21,2023-01-24 10:02:29.537162,208,80,0.5332892,5,1144,-726,7,0,particular,3
22,2023-01-24 10:02:33.014074,219,67,0.80399036,5,415,-928,7,0,particular,7
23,2023-01-24 10:02:35.599603,227,51,0.7079768,7,255,-862,7,0,taxi,8
24,2023-01-24 10:02:47.164824,260,22,0.7362636,5,897,-888,8,0,particular,6
25,2023-01-24 10:02:47.464328,261,18,0.630337,5,956,-768,8,0,particular,0
26,2023-01-24 10:02:48.886294,266,89,0.7391167,5,916,-767,8,0,particular,0
27,2023-01-24 10:02:50.597103,272,61,0.5716601,5,1149,-724,9,0,particular,3
28,2023-01-24 10:02:53.232722,281,1,0.5446876,7,1102,-688,9,0,taxi,3
29,2023-01-24 10:02:53.232785,281,27,0.7101127,7,1199,-738,9,0,taxi,3
30,2023-01-24 10:02:53.232821,281,64,0.817454,5,853,-766,9,0,particular,0
31,2023-01-24 10:03:00.325778,308,22,0.7977052,5,802,-994,10,0,particular,9
32,2023-01-24 10:03:00.592174,309,97,0.53593767,5,968,-768,10,0,particular,0
33,2023-01-24 10:03:00.887543,310,97,0.5641044,5,973,-692,10,0,particular,0
34,2023-01-24 10:03:08.686241,337,89,0.7590882,5,821,-903,11,0,particular,6
35,2023-01-24 10:03:09.258783,339,18,0.84586394,5,882,-892,11,0,particular,6
36,2023-01-24 10:03:13.441371,351,116,0.83219445,0,883,-765,11,0,bus,0
37,2023-01-24 10:03:18.551800,364,89,0.54272676,5,752,-971,12,0,particular,9
38,2023-01-24 10:03:24.306845,382,97,0.67835045,5,964,-768,12,0,particular,0
39,2023-01-24 10:03:24.307018,382,134,0.57395244,5,1364,-832,12,0,particular,2
40,2023-01-24 10:03:24.652260,383,18,0.60919183,5,791,-989,12,0,particular,9
41,2023-01-24 10:03:24.652518,383,134,0.51763207,5,1360,-831,12,0,particular,2
42,2023-01-24 10:03:28.518848,395,110,0.80359274,5,886,-891,13,0,particular,6
43,2023-01-24 10:03:30.511704,401,90,0.62738913,0,1185,-716,13,0,bus,3
44,2023-01-24 10:03:35.640025,413,112,0.55704916,5,246,-863,13,0,particular,8
45,2023-01-24 10:03:41.252765,428,91,0.6669994,5,1327,-854,14,0,particular,2
46,2023-01-24 10:03:41.599725,429,117,0.6736692,5,858,-766,14,0,particular,0
47,2023-01-24 10:03:44.055218,438,133,0.50762856,5,400,-922,14,0,particular,7
48,2023-01-24 10:03:46.245998,445,110,0.7127157,5,792,-991,15,0,particular,9
49,2023-01-24 10:03:47.831747,450,137,0.7656067,6,1397,-809,15,0,peaton,2
50,2023-01-24 10:03:50.328620,457,116,0.83750755,0,749,-914,15,0,bus,6
51,2023-01-24 10:03:50.681873,458,137,0.53134143,6,1395,-811,15,0,peaton,2
52,2023-01-24 10:03:51.040579,459,97,0.68850505,5,873,-893,15,0,particular,6
53,2023-01-24 10:03:51.040736,459,137,0.53134143,6,1394,-811,15,0,peaton,2
54,2023-01-24 10:03:52.503095,463,139,0.6959767,5,963,-769,15,0,particular,0
55,2023-01-24 10:03:56.368872,471,158,0.7074904,5,923,-767,15,0,particular,0
56,2023-01-24 10:03:56.885844,472,158,0.5313559,5,920,-766,15,0,particular,0
57,2023-01-24 10:03:57.967773,474,134,0.58500713,5,1147,-724,15,0,particular,3
58,2023-01-24 10:03:57.967901,474,158,0.57928354,5,918,-768,15,0,particular,0
59,2023-01-24 10:03:58.490578,475,116,0.894146,0,714,-951,16,0,bus,9
60,2023-01-24 10:04:00.697760,479,163,0.6678487,6,1339,-849,16,0,peaton,2
61,2023-01-24 10:04:01.829363,481,163,0.5268437,6,1339,-852,16,0,peaton,2
62,2023-01-24 10:04:09.440201,499,97,0.758587,5,783,-985,16,0,particular,9
63,2023-01-24 10:04:15.207643,512,162,0.81193566,5,920,-767,17,0,particular,0
64,2023-01-24 10:04:24.326231,532,160,0.76904774,5,972,-768,17,0,particular,0
65,2023-01-24 10:04:27.832497,541,139,0.8455755,5,880,-892,18,0,particular,6
66,2023-01-24 10:04:28.895949,543,137,0.5640495,6,1348,-845,18,0,peaton,2
67,2023-01-24 10:04:30.328047,546,137,0.57467896,6,1347,-838,18,0,peaton,2
68,2023-01-24 10:04:33.561499,556,183,0.64652145,7,808,-906,18,0,taxi,6
69,2023-01-24 10:04:35.904361,564,173,0.6188666,5,465,-932,19,0,particular,7
70,2023-01-24 10:04:41.976564,583,139,0.69282687,5,794,-995,19,0,particular,9
71,2023-01-24 10:04:41.976733,583,183,0.77977616,7,731,-974,19,0,taxi,9
72,2023-01-24 10:04:47.182728,598,162,0.8294441,5,816,-903,20,0,particular,6
73,2023-01-24 10:04:49.774409,606,182,0.65613323,5,968,-768,20,0,particular,0
74,2023-01-24 10:04:51.900057,612,160,0.73675257,5,889,-889,20,0,particular,6
75,2023-01-24 10:04:56.285604,625,162,0.65787125,5,741,-965,21,0,particular,9
76,2023-01-24 10:05:02.048612,640,181,0.8945321,0,882,-769,21,0,bus,0
77,2023-01-24 10:05:08.019420,655,160,0.6981227,5,791,-993,22,0,particular,9
78,2023-01-24 10:05:08.393631,656,195,0.5777641,5,1348,-754,22,0,particular,1
79,2023-01-24 10:05:13.804431,670,201,0.69567055,5,972,-769,22,0,particular,0
80,2023-01-24 10:05:19.179258,684,207,0.51084894,3,239,-868,23,0,minivan,8
81,2023-01-24 10:05:19.888409,686,182,0.80253226,5,884,-891,23,0,particular,6
82,2023-01-24 10:05:22.010320,691,204,0.57074887,5,930,-769,23,0,particular,0
83,2023-01-24 10:05:34.946335,724,182,0.68451226,5,787,-988,24,0,particular,9
84,2023-01-24 10:05:36.561136,730,205,0.58375263,3,264,-856,24,0,minivan,8
85,2023-01-24 10:05:39.788838,742,201,0.82285625,5,899,-887,25,0,particular,6
86,2023-01-24 10:05:41.368798,748,181,0.89125925,0,704,-946,25,0,bus,9
87,2023-01-24 10:05:41.895626,750,227,0.6450804,5,793,-989,25,0,particular,9
88,2023-01-24 10:05:48.995814,774,218,0.6964073,5,968,-769,26,0,particular,0
89,2023-01-24 10:05:51.714236,784,201,0.68016595,5,794,-990,26,0,particular,9
90,2023-01-24 10:05:57.082767,803,212,0.6302396,7,892,-888,27,0,taxi,6
91,2023-01-24 10:05:59.424476,811,204,0.62648,5,767,-978,27,0,particular,9
92,2023-01-24 10:06:00.794027,816,154,0.81977177,5,920,-988,27,0,particular,5
93,2023-01-24 10:06:07.437457,840,154,0.82348067,5,861,-1023,28,0,particular,9
94,2023-01-24 10:06:09.573805,847,212,0.7782612,7,778,-988,28,0,taxi,9
95,2023-01-24 10:06:11.297321,853,218,0.81961316,5,889,-890,28,0,particular,6
96,2023-01-24 10:06:14.297358,865,234,0.6600556,5,923,-768,29,0,particular,0
97,2023-01-24 10:06:23.755441,902,218,0.80180675,5,790,-989,30,0,particular,9
98,2023-01-24 10:06:28.595302,921,232,0.6607177,5,776,-982,31,0,particular,9
99,2023-01-24 10:06:34.404644,942,234,0.74840367,5,840,-902,31,0,particular,6
100,2023-01-24 10:06:39.985133,964,270,0.66789246,7,755,-915,32,0,taxi,6
101,2023-01-24 10:06:40.519300,966,268,0.70116866,5,960,-768,32,0,particular,0
102,2023-01-24 10:06:42.511536,974,234,0.75433403,5,773,-983,32,0,particular,9
103,2023-01-24 10:06:43.756361,979,249,0.69045717,5,856,-767,33,0,particular,0
104,2023-01-24 10:06:44.238114,981,270,0.7931686,7,715,-953,33,0,taxi,9
105,2023-01-24 10:06:55.225701,1029,281,0.7250713,5,1362,-831,34,0,particular,2
106,2023-01-24 10:06:56.421218,1034,268,0.6424485,5,872,-892,34,0,particular,6
107,2023-01-24 10:07:05.144963,1068,268,0.546694,5,777,-985,36,0,particular,9
108,2023-01-24 10:07:17.737629,1117,292,0.51792186,5,420,-925,37,0,particular,7
109,2023-01-24 10:07:17.979368,1118,300,0.59363157,5,415,-924,37,0,particular,7
110,2023-01-24 10:07:26.543132,1152,297,0.661296,5,921,-770,38,0,particular,0
111,2023-01-24 10:07:36.282320,1197,310,0.54714984,5,1376,-766,40,0,particular,1
112,2023-01-24 10:07:40.772134,1218,91,0.6185289,3,993,-832,41,0,minivan,4
113,2023-01-24 10:07:41.873033,1223,297,0.8247315,5,840,-904,41,0,particular,6
114,2023-01-24 10:07:43.525261,1230,91,0.656365,3,983,-835,41,0,minivan,4
115,2023-01-24 10:07:44.748214,1235,329,0.73576033,7,716,-954,41,0,taxi,9
116,2023-01-24 10:07:49.752695,1255,297,0.6546869,5,779,-983,42,0,particular,9
117,2023-01-24 10:08:10.278310,1348,195,0.7633213,5,992,-824,45,0,particular,4
118,2023-01-24 10:08:10.703786,1350,295,0.8162976,7,433,-927,45,0,taxi,7
119,2023-01-24 10:08:22.850573,1402,352,0.82214445,7,239,-870,47,0,taxi,8
120,2023-01-24 10:08:23.075280,1403,352,0.8279351,7,234,-873,47,0,taxi,8
121,2023-01-24 10:08:23.300994,1404,352,0.83285475,7,228,-873,47,0,taxi,8
122,2023-01-24 10:08:34.423567,1452,310,0.6297839,5,920,-975,48,0,particular,5
123,2023-01-24 10:08:36.702423,1462,365,0.5519181,7,226,-874,49,0,taxi,8
124,2023-01-24 10:08:39.107798,1473,310,0.7064806,5,845,-1017,49,0,particular,9
125,2023-01-24 10:08:43.377668,1492,368,0.8466871,7,264,-858,50,0,taxi,8
126,2023-01-24 10:08:45.357906,1501,375,0.5306441,7,1142,-724,50,0,taxi,3
127,2023-01-24 10:08:46.929105,1509,381,0.8240247,5,487,-936,50,0,particular,7
128,2023-01-24 10:08:55.589898,1550,377,0.76634914,5,914,-767,52,0,particular,0
129,2023-01-24 10:09:11.675243,1637,387,0.76458895,5,972,-768,55,0,particular,0
130,2023-01-24 10:09:18.063416,1669,391,0.7182539,5,921,-768,56,0,particular,0
131,2023-01-24 10:09:22.220137,1689,413,0.73393905,5,481,-935,56,0,particular,7
132,2023-01-24 10:09:24.828935,1702,387,0.76899195,5,881,-890,57,0,particular,6
133,2023-01-24 10:09:29.402185,1726,403,0.6095575,3,1007,-809,58,0,minivan,4
134,2023-01-24 10:09:32.111235,1740,387,0.6023389,5,780,-987,58,0,particular,9
135,2023-01-24 10:09:33.068756,1745,391,0.7865836,5,830,-900,58,0,particular,6
136,2023-01-24 10:09:39.944863,1781,391,0.7555128,3,762,-975,60,1,minivan,9
137,2023-01-24 10:09:42.589497,1796,458,0.65254414,5,1390,-812,60,1,particular,2
138,2023-01-24 10:10:01.813145,1911,466,0.6800917,3,266,-855,64,1,minivan,8
139,2023-01-24 10:10:11.715659,1982,476,0.55602884,5,1174,-719,66,1,particular,3
140,2023-01-24 10:10:11.847246,1983,476,0.58247066,5,1174,-720,66,1,particular,3
141,2023-01-24 10:10:12.116639,1985,476,0.6005535,5,1172,-720,66,1,particular,3
142,2023-01-24 10:10:26.050612,2074,489,0.75125664,5,1302,-874,69,1,particular,2
143,2023-01-24 10:10:30.854905,2101,462,0.7759155,5,919,-990,70,1,particular,5
144,2023-01-24 10:10:33.888402,2117,462,0.7494858,5,860,-1026,71,1,particular,9
145,2023-01-24 10:10:54.102510,2220,519,0.54899865,6,1397,-808,74,1,peaton,2
146,2023-01-24 10:10:57.525349,2236,489,0.75988984,5,921,-994,75,1,particular,5
147,2023-01-24 10:11:00.575889,2249,503,0.6995431,5,988,-828,75,1,particular,4
148,2023-01-24 10:11:01.553584,2253,489,0.6945912,5,862,-1026,75,1,particular,9
149,2023-01-24 10:11:05.941195,2271,518,0.7672633,5,1008,-807,76,1,particular,4
150,2023-01-24 10:11:12.890496,2299,495,0.62722594,5,921,-992,77,1,particular,5
151,2023-01-24 10:11:20.184476,2329,537,0.68343663,5,992,-815,78,1,particular,4
152,2023-01-24 10:11:26.832889,2357,539,0.7672858,7,1388,-815,79,1,taxi,2
153,2023-01-24 10:11:27.058850,2358,539,0.70687145,7,1389,-815,79,1,taxi,2
154,2023-01-24 10:11:27.310884,2359,539,0.71711963,7,1388,-815,79,1,taxi,2
155,2023-01-24 10:11:35.282168,2396,503,0.6018182,5,409,-924,80,1,particular,7
156,2023-01-24 10:11:41.741242,2422,549,0.5249584,7,913,-950,81,1,taxi,5
157,2023-01-24 10:11:41.741268,2422,558,0.6490688,5,915,-952,81,1,particular,5
158,2023-01-24 10:11:46.459993,2442,518,0.84359574,5,408,-923,82,1,particular,7
159,2023-01-24 10:11:47.686806,2447,512,0.772756,5,918,-992,82,1,particular,5
160,2023-01-24 10:11:47.686848,2447,537,0.67990994,5,470,-934,82,1,particular,7
161,2023-01-24 10:11:48.165827,2449,549,0.6796932,5,818,-1006,82,1,particular,9
162,2023-01-24 10:11:50.641665,2460,512,0.7361228,5,861,-1027,82,1,particular,9
163,2023-01-24 10:11:53.272534,2472,564,0.58731663,5,1332,-854,83,1,particular,2
164,2023-01-24 10:11:53.505338,2473,564,0.6178239,5,1331,-855,83,1,particular,2
165,2023-01-24 10:11:53.716442,2474,564,0.6156411,5,1329,-855,83,1,particular,2
166,2023-01-24 10:11:56.431169,2486,550,0.6837681,7,1006,-809,83,1,taxi,4
167,2023-01-24 10:11:59.065541,2498,513,0.7182784,5,422,-926,84,1,particular,7
168,2023-01-24 10:12:00.444584,2505,575,0.7014191,7,1303,-873,84,1,taxi,2
169,2023-01-24 10:12:09.294631,2549,577,0.54798263,5,914,-766,85,1,particular,0
170,2023-01-24 10:12:13.258792,2571,579,0.68349147,5,252,-864,86,1,particular,8
171,2023-01-24 10:12:19.775659,2607,564,0.6552981,5,996,-821,87,1,particular,4
172,2023-01-24 10:12:24.764235,2636,594,0.5160753,5,254,-862,88,1,particular,8
173,2023-01-24 10:12:29.278005,2661,577,0.74510056,7,729,-959,89,1,taxi,9
174,2023-01-24 10:12:30.313647,2667,575,0.8394571,7,972,-846,89,1,taxi,4
175,2023-01-24 10:12:31.493327,2674,605,0.6946675,5,1312,-864,90,1,particular,2
176,2023-01-24 10:12:46.269479,2761,595,0.5959631,5,891,-767,93,1,particular,0
177,2023-01-24 10:12:46.607319,2763,614,0.6567808,5,440,-928,93,1,particular,7
178,2023-01-24 10:12:51.134899,2786,626,0.56168723,7,1384,-814,93,1,taxi,2
179,2023-01-24 10:12:58.074731,2820,627,0.817402,7,455,-931,95,1,taxi,7
180,2023-01-24 10:13:01.180390,2835,575,0.7875073,7,1390,-813,95,1,taxi,2
181,2023-01-24 10:13:06.791535,2860,603,0.6627293,5,926,-767,96,1,particular,0
182,2023-01-24 10:13:10.288652,2878,626,0.6096985,7,1227,-748,97,1,taxi,3
183,2023-01-24 10:13:10.499523,2879,626,0.5368322,7,1101,-690,97,1,taxi,3
184,2023-01-24 10:13:12.428727,2888,659,0.82475305,7,714,-951,97,1,taxi,9
185,2023-01-24 10:13:19.900012,2918,669,0.7440048,5,1320,-855,98,1,particular,2
186,2023-01-24 10:13:27.565259,2951,603,0.8289196,5,818,-905,99,1,particular,6
187,2023-01-24 10:13:27.565315,2951,671,0.56825835,5,1369,-826,99,1,particular,2
188,2023-01-24 10:13:34.418887,2980,603,0.7252093,5,753,-969,100,1,particular,9
189,2023-01-24 10:13:34.418993,2980,686,0.7431795,5,1360,-831,100,1,particular,2
190,2023-01-24 10:13:43.112965,3016,595,0.67697555,7,867,-893,101,1,taxi,6
191,2023-01-24 10:13:43.353459,3017,595,0.6780232,7,867,-892,101,1,taxi,6
192,2023-01-24 10:13:43.594099,3018,595,0.62645835,7,865,-894,101,1,taxi,6
193,2023-01-24 10:13:44.285434,3021,605,0.60548854,5,977,-835,101,1,particular,4
194,2023-01-24 10:13:44.950131,3024,671,0.65822697,5,1143,-725,101,1,particular,3
195,2023-01-24 10:13:48.423271,3040,669,0.8212377,5,1003,-810,102,1,particular,4
196,2023-01-24 10:13:50.675467,3050,695,0.5035235,5,1138,-727,102,1,particular,3
197,2023-01-24 10:13:51.715376,3055,696,0.70335174,7,774,-985,102,1,taxi,9
198,2023-01-24 10:14:00.189878,3089,683,0.646351,0,1336,-851,104,1,bus,2
199,2023-01-24 10:14:00.684018,3091,683,0.69050384,0,1335,-852,104,1,bus,2
200,2023-01-24 10:14:00.931932,3092,683,0.68592787,0,1331,-850,104,1,bus,2
201,2023-01-24 10:14:08.255597,3125,713,0.5021813,7,917,-962,105,1,taxi,5
202,2023-01-24 10:14:13.256292,3147,713,0.7872611,5,836,-1015,106,1,particular,9
203,2023-01-24 10:14:29.389877,3229,652,0.7244707,5,1318,-859,108,1,particular,2
204,2023-01-24 10:14:39.560642,3270,749,0.8831601,0,914,-941,110,1,bus,5
205,2023-01-24 10:14:41.068175,3276,605,0.69073474,5,218,-880,110,1,particular,8
206,2023-01-24 10:14:41.329826,3277,759,0.64548856,5,261,-859,110,1,particular,8
207,2023-01-24 10:14:41.613273,3278,736,0.75938326,5,883,-766,110,1,particular,0
208,2023-01-24 10:14:48.939547,3307,749,0.90081877,0,779,-983,111,1,bus,9
209,2023-01-24 10:14:57.410878,3341,652,0.69137055,5,971,-846,112,1,particular,4
210,2023-01-24 10:15:00.750096,3353,785,0.57658714,5,1335,-849,113,1,particular,2
211,2023-01-24 10:15:20.210051,3427,805,0.8277527,5,474,-934,115,1,particular,7
212,2023-01-24 10:15:30.145820,3466,785,0.50680834,5,978,-839,116,1,particular,4
213,2023-01-24 10:15:30.398840,3467,809,0.6195315,5,1334,-855,116,1,particular,2
214,2023-01-24 10:15:30.656304,3468,809,0.5779791,5,1328,-855,116,1,particular,2
215,2023-01-24 10:15:30.921287,3469,809,0.5974214,5,1328,-857,116,1,particular,2
216,2023-01-24 10:15:31.165950,3470,809,0.54190344,5,1299,-845,116,1,particular,2
217,2023-01-24 10:15:31.392170,3471,809,0.5355501,5,1325,-860,117,1,particular,2
218,2023-01-24 10:15:31.911830,3473,809,0.5203007,5,1321,-858,117,1,particular,2
219,2023-01-24 10:15:32.204646,3474,809,0.5428893,5,1327,-860,117,1,particular,2
220,2023-01-24 10:15:32.528960,3475,809,0.50303787,5,1319,-859,117,1,particular,2
221,2023-01-24 10:15:32.815566,3476,809,0.50190043,5,1322,-861,117,1,particular,2
222,2023-01-24 10:15:33.126702,3477,817,0.58242404,3,465,-933,117,1,minivan,7
223,2023-01-24 10:15:33.398727,3478,652,0.50301,5,459,-936,117,1,particular,7
224,2023-01-24 10:15:44.591879,3516,769,0.7580161,5,926,-767,118,1,particular,0
225,2023-01-24 10:15:46.000447,3520,769,0.7584926,5,927,-766,118,1,particular,0
226,2023-01-24 10:15:46.330999,3521,769,0.73955667,5,927,-767,118,1,particular,0
227,2023-01-24 10:15:53.417639,3543,792,0.5114962,5,1322,-744,119,1,particular,1
228,2023-01-24 10:15:56.779098,3554,775,0.7357101,5,1326,-855,119,1,particular,2
229,2023-01-24 10:16:04.381528,3575,809,0.59980243,5,977,-840,120,2,particular,4
230,2023-01-24 10:16:04.944025,3577,809,0.5036225,5,986,-840,120,2,particular,4
231,2023-01-24 10:16:05.232043,3578,809,0.55695856,5,977,-840,120,2,particular,4
232,2023-01-24 10:16:06.104088,3581,862,0.6868076,5,1358,-833,120,2,particular,2
233,2023-01-24 10:16:09.558536,3591,874,0.51195776,5,980,-834,121,2,particular,4
234,2023-01-24 10:16:13.435873,3602,836,0.6645335,5,1142,-722,121,2,particular,3
235,2023-01-24 10:16:14.703353,3606,874,0.5256939,5,969,-836,121,2,particular,4
236,2023-01-24 10:16:22.518462,3627,883,0.67139375,5,1320,-861,122,2,particular,2
237,2023-01-24 10:16:29.542674,3641,893,0.6530867,5,1361,-832,122,2,particular,2
238,2023-01-24 10:16:42.657107,3678,878,0.79327613,0,887,-766,123,2,bus,0
239,2023-01-24 10:16:44.717160,3684,874,0.89607877,0,797,-905,124,2,bus,6
240,2023-01-24 10:16:48.708972,3698,912,0.73233527,5,1320,-862,124,2,particular,2
241,2023-01-24 10:16:50.301759,3704,852,0.57518935,5,975,-768,124,2,particular,0
242,2023-01-24 10:16:55.739626,3722,874,0.9344782,0,718,-953,125,2,bus,9
243,2023-01-24 10:16:56.164756,3723,893,0.68083215,5,1133,-728,125,2,particular,3
244,2023-01-24 10:16:58.151930,3729,918,0.7974394,5,1343,-845,125,2,particular,2
245,2023-01-24 10:17:22.203398,3802,935,0.74206704,5,1321,-861,128,2,particular,2
246,2023-01-24 10:17:26.263217,3813,943,0.5293922,5,1125,-730,128,2,particular,3
247,2023-01-24 10:17:29.915394,3823,923,0.6992933,5,974,-769,128,2,particular,0
248,2023-01-24 10:17:32.718655,3829,950,0.6179009,5,1363,-830,129,2,particular,2
249,2023-01-24 10:17:36.436122,3839,852,0.8537332,5,881,-891,129,2,particular,6
250,2023-01-24 10:17:53.466803,3882,940,0.855917,5,883,-905,130,2,particular,6
251,2023-01-24 10:17:53.901561,3883,852,0.56227535,5,778,-986,130,2,particular,9
252,2023-01-24 10:18:07.457654,3914,957,0.5427717,5,975,-768,131,2,particular,0
253,2023-01-24 10:18:10.519858,3920,923,0.84509695,5,885,-890,132,2,particular,6
254,2023-01-24 10:18:11.102117,3921,940,0.8436405,5,801,-994,132,2,particular,9
255,2023-01-24 10:18:12.940338,3925,958,0.7194113,5,746,-967,132,2,particular,9
256,2023-01-24 10:18:40.130201,3963,923,0.7656776,5,795,-995,133,2,particular,9
257,2023-01-24 10:18:54.244831,3979,980,0.56103,5,753,-973,134,2,particular,9
258,2023-01-24 10:18:55.871695,3981,967,0.73215574,5,864,-893,134,2,particular,6
259,2023-01-24 10:19:20.105291,4022,878,0.850479,0,710,-948,135,2,bus,9
260,2023-01-24 10:19:21.929268,4025,967,0.784446,5,779,-984,135,2,particular,9
261,2023-01-24 10:19:27.138436,4033,957,0.8081833,5,901,-887,135,2,particular,6
262,2023-01-24 10:19:50.782815,4060,1020,0.7039708,5,929,-767,136,2,particular,0
263,2023-01-24 10:19:53.121812,4063,1011,0.8560076,0,878,-766,136,2,bus,0
264,2023-01-24 10:19:54.253104,4065,1000,0.5693535,5,975,-768,137,2,particular,0
265,2023-01-24 10:19:54.253156,4065,1009,0.63044566,5,493,-936,137,2,particular,7
266,2023-01-24 10:19:55.349072,4067,1014,0.7948956,5,762,-977,137,2,particular,9
267,2023-01-24 10:20:07.311191,4092,957,0.72313577,5,796,-995,137,2,particular,9
268,2023-01-24 10:20:18.840282,4112,977,0.7873453,5,904,-886,138,2,particular,6
269,2023-01-24 10:20:20.284328,4116,999,0.7387294,7,743,-968,138,2,taxi,9
270,2023-01-24 10:20:28.687138,4138,1021,0.6528432,5,925,-767,139,2,particular,0
271,2023-01-24 10:20:33.119849,4147,1029,0.55539167,7,427,-926,139,2,taxi,7
272,2023-01-24 10:20:36.199863,4154,978,0.7664161,5,759,-973,140,2,particular,9
273,2023-01-24 10:20:42.881628,4168,1000,0.77556777,5,902,-887,140,2,particular,6
274,2023-01-24 10:20:44.111694,4171,977,0.8471974,5,805,-995,140,2,particular,9
275,2023-01-24 10:20:48.700723,4178,1011,0.8767788,0,691,-941,140,2,bus,9
276,2023-01-24 10:20:57.013292,4191,775,0.6550064,5,986,-832,141,2,particular,4
277,2023-01-24 10:21:03.797046,4200,1050,0.7232488,5,751,-968,141,2,particular,9
278,2023-01-24 10:21:17.552437,4222,1051,0.5917744,6,1366,-832,142,2,peaton,2
279,2023-01-24 10:21:18.912441,4225,1051,0.59479105,6,1365,-830,142,2,peaton,2
280,2023-01-24 10:21:19.333556,4226,1000,0.76751107,5,797,-991,142,2,particular,9
281,2023-01-24 10:21:21.763119,4232,1021,0.83373237,5,832,-900,142,2,particular,6
282,2023-01-24 10:21:29.775260,4246,1038,0.7154257,5,1005,-811,143,2,particular,4
283,2023-01-24 10:21:39.522044,4263,1051,0.5437665,6,1345,-845,143,2,peaton,2
284,2023-01-24 10:21:39.918032,4264,1021,0.72707504,5,751,-969,143,2,particular,9
285,2023-01-24 10:21:39.918070,4264,1051,0.5681306,6,1345,-846,143,2,peaton,2
286,2023-01-24 10:21:40.235558,4265,1051,0.5245086,6,1347,-835,143,2,peaton,2
287,2023-01-24 10:21:42.948373,4273,912,0.68727916,5,954,-864,144,2,particular,4
288,2023-01-24 10:21:53.837026,4312,1053,0.7343456,5,975,-844,145,2,particular,4
289,2023-01-24 10:22:01.893163,4342,1081,0.74408257,7,990,-825,146,2,taxi,4
