,nomClass,time_video,c
0,bus,11,1
1,bus,13,1
2,bus,15,1
3,bus,16,1
4,bus,21,1
5,bus,25,1
6,bus,104,3
7,bus,110,1
8,bus,111,1
9,bus,123,1
10,bus,124,1
11,bus,125,1
12,bus,135,1
13,bus,136,1
14,bus,140,1
15,bus,163,1
16,bus,294,1
17,bus,295,2
18,bus,306,1
19,bus,330,1
20,bus,331,1
21,bus,360,1
22,bus,367,1
23,bus,370,2
24,bus,387,1
25,bus,388,1
26,bus,393,1
27,bus,464,1
28,bus,472,1
29,bus,475,1
30,bus,509,1
31,bus,539,1
32,bus,543,1
33,bus,547,1
34,bus,548,1
35,bus,550,1
36,bus,553,1
37,bus,554,1
38,bus,555,1
39,bus,564,7
40,bus,585,1
41,bus,586,3
42,bus,601,3
43,bus,602,2
44,bus,609,1
45,bus,610,1
46,bus,645,3
47,bus,652,1
48,bus,696,1
49,bus,704,3
50,bus,725,1
51,bus,728,2
52,bus,735,1
53,bus,859,1
54,bus,876,1
55,bus,885,1
56,bus,886,1
57,bus,973,1
58,bus,1075,1
59,bus,1078,2
60,bus,1085,1
61,bus,1213,1
62,bus,1215,1
63,bus,1216,1
64,bus,1220,1
65,bus,1223,2
66,bus,1236,7
67,bus,1312,7
68,bus,1313,5
69,bus,1324,1
70,bus,1326,1
71,bus,1328,1
72,bus,1335,1
73,bus,1338,1
74,bus,1339,1
75,bus,1340,1
76,bus,1353,1
77,bus,1360,1
78,bus,1361,1
79,bus,1471,1
80,bus,1477,3
81,bus,1485,1
82,bus,1518,1
83,bus,1520,1
84,bus,1521,1
85,bus,1580,1
86,bus,1586,1
87,bus,1587,1
88,bus,1592,1
89,bus,1593,1
90,bus,1611,1
91,bus,1615,1
92,bus,1617,1
93,bus,1618,1
94,bus,1679,1
95,bus,1711,2
96,bus,1712,1
97,bus,1720,1
98,bus,1722,1
99,bus,1723,1
100,minivan,23,1
101,minivan,24,1
102,minivan,41,2
103,minivan,58,1
104,minivan,60,1
105,minivan,64,1
106,minivan,117,1
107,minivan,157,1
108,minivan,158,1
109,minivan,163,1
110,minivan,167,1
111,minivan,179,1
112,minivan,187,1
113,minivan,193,1
114,minivan,217,1
115,minivan,221,1
116,minivan,270,1
117,minivan,316,1
118,minivan,322,1
119,minivan,360,1
120,minivan,367,1
121,minivan,385,2
122,minivan,448,2
123,minivan,484,1
124,minivan,493,1
125,minivan,539,1
126,minivan,628,1
127,minivan,631,1
128,minivan,671,1
129,minivan,854,1
130,minivan,859,1
131,minivan,894,1
132,minivan,918,1
133,minivan,936,2
134,minivan,941,1
135,minivan,966,1
136,minivan,970,1
137,minivan,971,1
138,minivan,1035,1
139,minivan,1071,1
140,minivan,1201,1
141,minivan,1246,1
142,minivan,1252,1
143,minivan,1255,1
144,minivan,1356,1
145,minivan,1425,1
146,minivan,1433,1
147,minivan,1437,1
148,minivan,1439,1
149,minivan,1440,1
150,minivan,1466,1
151,minivan,1477,1
152,minivan,1549,1
153,minivan,1654,1
154,minivan,1669,1
155,minivan,1711,1
156,minivan,1729,1
157,minivan,1730,1
158,minivan,1739,1
159,minivan,1744,1
160,minivan,1808,1
161,particular,0,2
