,date,frame_idx,idBox,conf,c,xc,yc,time_video,time_video_min,nomClass,line_name
0,2023-01-24 10:01:21.021761,20,1,0.7692443,7,1646,-921,0,0,taxi,2
1,2023-01-24 10:01:21.021761,20,1,0.7692443,7,1646,-921,0,0,taxi,3
2,2023-01-24 10:01:21.021785,20,2,0.6477647,5,873,-895,0,0,particular,6
3,2023-01-24 10:01:21.021785,20,2,0.6477647,5,873,-895,0,0,particular,9
4,2023-01-24 10:01:21.021799,20,3,0.55483586,7,1145,-866,0,0,taxi,5
5,2023-01-24 10:01:21.021799,20,3,0.55483586,7,1145,-866,0,0,taxi,9
10,2023-01-24 10:01:21.021856,20,10,0.56797034,5,432,-919,0,0,particular,7
12,2023-01-24 10:01:21.021879,20,16,0.69629055,7,856,-764,0,0,taxi,0
13,2023-01-24 10:01:21.021890,20,18,0.65150493,5,909,-698,0,0,particular,0
14,2023-01-24 10:01:21.021890,20,18,0.65150493,5,909,-698,0,0,particular,6
15,2023-01-24 10:01:21.021890,20,18,0.65150493,5,909,-698,0,0,particular,9
16,2023-01-24 10:01:21.021901,20,19,0.7727227,5,943,-732,0,0,particular,0
18,2023-01-24 10:01:21.021944,20,22,0.5432715,5,890,-657,0,0,particular,0
19,2023-01-24 10:01:21.021944,20,22,0.5432715,5,890,-657,0,0,particular,0
20,2023-01-24 10:01:21.021944,20,22,0.5432715,5,890,-657,0,0,particular,0
21,2023-01-24 10:01:21.021944,20,22,0.5432715,5,890,-657,0,0,particular,6
22,2023-01-24 10:01:21.021944,20,22,0.5432715,5,890,-657,0,0,particular,9
23,2023-01-24 10:01:28.021143,40,2,0.7444031,5,827,-946,1,0,particular,6
24,2023-01-24 10:01:28.021143,40,2,0.7444031,5,827,-946,1,0,particular,9
25,2023-01-24 10:01:28.021181,40,3,0.84699327,7,1093,-877,1,0,taxi,5
26,2023-01-24 10:01:28.021181,40,3,0.84699327,7,1093,-877,1,0,taxi,9
31,2023-01-24 10:01:28.021279,40,10,0.62228763,5,362,-940,1,0,particular,7
33,2023-01-24 10:01:28.021295,40,18,0.6300325,5,911,-708,1,0,particular,0
34,2023-01-24 10:01:28.021295,40,18,0.6300325,5,911,-708,1,0,particular,6
35,2023-01-24 10:01:28.021295,40,18,0.6300325,5,911,-708,1,0,particular,9
36,2023-01-24 10:01:28.021298,40,19,0.6102986,5,934,-753,1,0,particular,0
37,2023-01-24 10:01:28.021302,40,22,0.60300577,5,913,-710,1,0,particular,0
38,2023-01-24 10:01:28.021302,40,22,0.60300577,5,913,-710,1,0,particular,0
39,2023-01-24 10:01:28.021302,40,22,0.60300577,5,913,-710,1,0,particular,0
40,2023-01-24 10:01:28.021302,40,22,0.60300577,5,913,-710,1,0,particular,6
41,2023-01-24 10:01:28.021302,40,22,0.60300577,5,913,-710,1,0,particular,9
43,2023-01-24 10:01:28.021325,40,27,0.69748217,7,1719,-951,1,0,taxi,2
44,2023-01-24 10:01:28.021325,40,27,0.69748217,7,1719,-951,1,0,taxi,2
45,2023-01-24 10:01:28.021325,40,27,0.69748217,7,1719,-951,1,0,taxi,2
46,2023-01-24 10:01:28.021325,40,27,0.69748217,7,1719,-951,1,0,taxi,2
47,2023-01-24 10:01:28.021325,40,27,0.69748217,7,1719,-951,1,0,taxi,3
49,2023-01-24 10:01:34.571926,60,1,0.6304094,7,1434,-832,2,0,taxi,2
50,2023-01-24 10:01:34.571926,60,1,0.6304094,7,1434,-832,2,0,taxi,3
51,2023-01-24 10:01:34.571950,60,2,0.76183295,5,755,-1012,2,0,particular,6
52,2023-01-24 10:01:34.571950,60,2,0.76183295,5,755,-1012,2,0,particular,9
53,2023-01-24 10:01:34.571964,60,3,0.7710394,7,1030,-900,2,0,taxi,5
54,2023-01-24 10:01:34.571964,60,3,0.7710394,7,1030,-900,2,0,taxi,9
57,2023-01-24 10:01:34.572000,60,10,0.65834737,5,288,-959,2,0,particular,7
59,2023-01-24 10:01:34.572022,60,19,0.77148676,5,919,-779,2,0,particular,0
60,2023-01-24 10:01:34.572034,60,22,0.6934529,5,904,-726,2,0,particular,0
61,2023-01-24 10:01:34.572034,60,22,0.6934529,5,904,-726,2,0,particular,0
62,2023-01-24 10:01:34.572034,60,22,0.6934529,5,904,-726,2,0,particular,0
63,2023-01-24 10:01:34.572034,60,22,0.6934529,5,904,-726,2,0,particular,6
64,2023-01-24 10:01:34.572034,60,22,0.6934529,5,904,-726,2,0,particular,9
65,2023-01-24 10:01:34.572045,60,27,0.8433065,7,1676,-941,2,0,taxi,2
66,2023-01-24 10:01:34.572045,60,27,0.8433065,7,1676,-941,2,0,taxi,2
