,epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
0,0,1.5959,2.8092,1.1963,0.57007,0.35507,0.35658,0.2029,1.4583,1.8269,1.1474,0.070211,0.0033099,0.0033099
1,1,1.5528,1.7299,1.1914,0.50121,0.54202,0.51928,0.3004,1.4296,1.3851,1.1462,0.040102,0.0065336,0.0065336
2,2,1.5564,1.571,1.1984,0.55807,0.49027,0.52159,0.30492,1.4505,1.4386,1.1638,0.009882,0.0096473,0.0096473
3,3,1.5429,1.4816,1.1948,0.52926,0.57602,0.57064,0.32544,1.4539,1.381,1.1646,0.009505,0.009505,0.009505
4,4,1.537,1.4365,1.1985,0.61376,0.60937,0.62335,0.36923,1.4075,1.2701,1.1423,0.009505,0.009505,0.009505
5,5,1.5151,1.3702,1.1913,0.57435,0.6123,0.61512,0.36968,1.4122,1.2467,1.1506,0.00934,0.00934,0.00934
6,6,1.4934,1.3118,1.1809,0.64537,0.65409,0.65672,0.38422,1.4011,1.2404,1.1393,0.009175,0.009175,0.009175
7,7,1.4775,1.2716,1.1745,0.6867,0.60117,0.67764,0.41185,1.3594,1.122,1.1186,0.00901,0.00901,0.00901
8,8,1.4673,1.2489,1.1697,0.67825,0.64384,0.67338,0.40689,1.3728,1.1244,1.1352,0.008845,0.008845,0.008845
9,9,1.4604,1.2192,1.1653,0.68134,0.62024,0.67827,0.39853,1.4173,1.1016,1.1477,0.00868,0.00868,0.00868
10,10,1.4537,1.1811,1.1603,0.64477,0.6836,0.70026,0.4172,1.3574,1.0417,1.1146,0.008515,0.008515,0.008515
11,11,1.4446,1.1545,1.1553,0.60808,0.60858,0.68145,0.41329,1.3708,1.0823,1.1244,0.00835,0.00835,0.00835
12,12,1.4409,1.1507,1.1532,0.63245,0.7298,0.70351,0.43026,1.3457,1.0322,1.119,0.008185,0.008185,0.008185
13,13,1.4368,1.1199,1.1498,0.71483,0.67511,0.70632,0.43023,1.3542,1.032,1.1101,0.00802,0.00802,0.00802
14,14,1.4161,1.1006,1.138,0.67666,0.72449,0.72964,0.45159,1.3356,1.0312,1.1089,0.007855,0.007855,0.007855
15,15,1.4179,1.0858,1.1424,0.62235,0.62692,0.67489,0.40289,1.3455,1.0002,1.1135,0.00769,0.00769,0.00769
16,16,1.4037,1.0656,1.1316,0.67341,0.71004,0.71385,0.42995,1.3648,1.0345,1.1175,0.007525,0.007525,0.007525
17,17,1.4106,1.0576,1.1371,0.72741,0.67302,0.72732,0.44944,1.3351,0.97754,1.1087,0.00736,0.00736,0.00736
18,18,1.4047,1.0527,1.137,0.61521,0.70027,0.69257,0.42471,1.3515,1.0411,1.1204,0.007195,0.007195,0.007195
19,19,1.3891,1.0298,1.1286,0.70576,0.68604,0.72006,0.44047,1.3216,0.98889,1.0959,0.00703,0.00703,0.00703
20,20,1.383,1.0193,1.1245,0.66075,0.74536,0.72458,0.44744,1.3352,0.9834,1.1092,0.006865,0.006865,0.006865
21,21,1.3769,1.0211,1.1236,0.67381,0.71914,0.72919,0.45036,1.3272,0.99902,1.1024,0.0067,0.0067,0.0067
22,22,1.3813,0.99688,1.1201,0.68783,0.75714,0.73467,0.44005,1.3428,0.9804,1.1083,0.006535,0.006535,0.006535
